home_team,away_team,date,week,score,home_b,away_b,target
chi,cin,2021-09-19,2,-0.13078802986163074,0.6060606060606061,1.36,1
car,nyg,2018-10-07,5,0.8149213902389616,0.3125,2.5,1
min,atl,2020-10-18,6,0.10727396049140435,0.46511627906976744,1.75,0
gnb,car,2014-10-19,7,0.2348673915213772,0.35714285714285715,2.28,1
min,chi,2012-01-01,17,-0.3458048256705119,0.6944444444444444,1.19,0
clt,tam,2021-11-28,12,-0.3569197958832807,1.36,0.6060606060606061,0
nwe,rav,2013-01-20,19,0.503051862962544,0.2857142857142857,2.7,0
was,nwe,2019-10-06,5,-1.0115922573827612,7.28,0.07892659826361484,0
tam,pit,2010-09-26,3,0.1196678822980114,1.36,0.6060606060606061,0
cin,crd,2011-12-24,16,0.20129826324571085,0.46511627906976744,1.75,1
was,ram,2014-12-07,14,-0.2546008172176745,1.19,0.6944444444444444,0
cin,jax,2019-10-20,7,-0.5073675074035374,1.75,0.46511627906976744,0
det,rav,2013-12-16,15,-0.06906303504735689,0.40816326530612246,1.97,0
dal,clt,2014-12-21,16,-0.16289609790058057,0.5291005291005291,1.57,1
buf,rav,2019-12-08,14,-0.698370965617958,2.09,0.38461538461538464,0
ram,oti,2021-11-07,9,0.222410719382903,0.3125,2.5,0
tam,ram,2016-09-25,3,-0.027451574313121143,0.5291005291005291,1.57,0
sfo,gnb,2019-11-24,12,0.10375174556134323,0.6060606060606061,1.36,1
sea,jax,2013-09-22,3,1.0577760673206793,0.05458515283842795,9.06,1
car,sdg,2016-12-11,14,0.1932462015776203,0.8064516129032258,1.04,1
nwe,clt,2010-11-21,11,0.04340850237436554,0.4366812227074236,1.86,1
kan,den,2021-12-05,13,0.6390748936221251,3.05,0.25,1
car,den,2022-11-27,12,-0.049172370048471886,1.04,0.8064516129032258,1
chi,min,2018-11-18,11,-0.08796367431167716,0.6944444444444444,1.19,1
cle,pit,2016-01-03,17,-0.8902471675414436,5.0,0.1360544217687075,0
cle,sea,2011-10-23,7,0.045360061549064676,0.6060606060606061,1.36,1
car,crd,2015-01-03,19,0.029446970997845195,0.40816326530612246,1.97,1
dal,phi,2011-12-24,16,-0.045350047708556926,1.19,0.6944444444444444,0
oti,jax,2018-12-06,14,0.25040181831380187,0.40816326530612246,1.97,1
min,crd,2016-11-20,11,-0.3133350283497774,0.746268656716418,1.12,1
sfo,kan,2022-10-23,7,-0.6318020670079209,1.04,0.8064516129032258,0
nyj,buf,2014-10-26,8,-0.30289266056466707,0.6060606060606061,1.36,0
nor,cin,2014-11-16,11,0.2101471376172878,0.25,3.05,0
htx,clt,2015-10-08,5,-0.2735317741024563,0.425531914893617,1.9,0
buf,kan,2013-11-03,9,-0.4583359356961349,1.86,0.4366812227074236,0
clt,pit,2022-11-28,12,-0.13389499267966318,0.6944444444444444,1.19,0
